# https://raw.githubusercontent.com/thoughtspot/ts-it-public/refs/heads/main/ts_security_greynoise_ip.txt

109.70.100.21/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.22/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.23/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.24/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.26/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.27/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.28/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.30/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.31/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.32/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.34/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.35/32    #  ITS-16365     ; Added on 2022-01-24
109.70.100.36/32    #  ITS-16365     ; Added on 2022-01-24
109.201.133.100/32  #  ITS-16365     ; Added on 2022-01-24
109.224.14.75/32    #  INC0011060    ; Added on 2023-02-06
115.29.194.22/32    #  INC0011060    ; Added on 2023-02-06
118.123.105.90/32   #  INC0012001    ; Added on 2023-04-25
119.28.236.49/32    #  INC0011060    ; Added on 2023-02-06
122.117.91.144/32   #  ITS-16365     ; Added on 2022-01-24
128.31.0.13/32      #  ITS-16365     ; Added on 2022-01-24
135.148.43.32/32    #  ITS-16365     ; Added on 2022-01-24
136.144.17.0/24     #  INC0021098    ; Added on 2024-11-19
136.144.33.0/24     #  INC0021098    ; Added on 2024-11-19
136.144.43.0/24     #  INC0021182    ; Added on 2024-11-25
144.217.86.109/32   #  ITS-16365     ; Added on 2022-01-24
145.255.203.175/32  #  SCTASK0010560 ; Added on 2023-01-31
146.59.45.142/32    #  ITS-16365     ; Added on 2022-01-24
146.70.64.0/18      #  INC0021182    ; Added on 2024-11-25
147.45.47.0/24      #  INC0019077    ; Added on 2024-09-23
147.135.105.62/32   #  ITS-16365     ; Added on 2022-01-24
151.80.148.159/32   #  ITS-16365     ; Added on 2022-01-24
151.115.60.113/32   #  ITS-16365     ; Added on 2022-01-24
151.236.118.146/32  #  INC0012268    ; Added on 2023-05-19
152.89.160.0/22     #  INC0021182    ; Added on 2024-11-25
